date,venue,race_no,race_id,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected,stake_yen,return_if_hit_yen,profit_if_hit_yen,loss_amount_yen,expected_profit_yen
2026-07-02,奈良,4,045320260702,quinella_place,ワイド,6,1-2,0.13672590885052413,32.1,339,True,200,6420.0,6220.0,200,678.0
2026-07-02,奈良,6,065320260702,trifecta,3連単,5,2-6-1,0.08093153835443351,164.8,1234,True,500,82400.0,81900.0,500,6170.0
2026-07-02,弥彦,1,012120260702,exacta,2車単,3,1-3,0.10707186773402985,126.4,1253,True,500,63200.0,62700.0,500,6265.0
2026-07-02,弥彦,1,012120260702,quinella_place,ワイド,3,1-3,0.30615367742150024,14.1,332,True,200,2820.0,2620.0,200,664.0
2026-07-02,弥彦,10,102120260702,exacta,2車単,6,2-6,0.0633657641066249,163.2,934,True,400,65280.0,64880.0,400,3736.0
2026-07-02,弥彦,10,102120260702,quinella_place,ワイド,2,2-6,0.37783168825065067,21.0,693,True,300,6300.0,6000.0,300,2079.0
2026-07-02,松戸,2,023120260702,exacta,2車単,2,1-7,0.06504173090325564,143.2,831,True,300,42960.0,42660.0,300,2493.0
2026-07-02,松戸,3,033120260702,quinella_place,ワイド,1,1-7,0.47766502880266787,8.8,320,True,200,1760.0,1560.0,200,640.0
2026-07-02,松阪,2,024720260702,quinella_place,ワイド,3,1-5,0.2111102472749998,20.7,337,True,200,4140.0,3940.0,200,674.0
2026-07-02,松阪,3,034720260702,exacta,2車単,6,3-4,0.06258208673678228,199.5,1149,True,400,79800.0,79400.0,400,4596.0
2026-07-02,松阪,4,044720260702,exacta,2車単,6,5-2,0.0654475632151095,144.0,842,True,300,43200.0,42900.0,300,2526.0
2026-07-02,松阪,4,044720260702,quinella_place,ワイド,3,4-5,0.22119748062129796,49.4,993,True,400,19760.0,19360.0,400,3972.0
2026-07-02,松阪,4,044720260702,quinella_place,ワイド,8,5-7,0.10093341775689892,83.0,738,True,300,24900.0,24600.0,300,2214.0
