date,venue,race_no,race_id,start_at,close_at,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected,stake_yen,return_if_hit_yen,profit_if_hit_yen,loss_amount_yen,expected_profit_yen,purchase_authorized,authorization_reason,model_sha256,prediction_created_at_jst,odds_snapshot
2026-08-01,いわき平,1,011320260801,1785567000,1785566700,quinella_place,ワイド,3,5-7,0.6485559201699986,8.5,451,True,200,1700.0,1500.0,200,902.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-01T07:43:40+09:00,daily morning snapshot
2026-08-01,佐世保,5,058520260801,1785554880,1785554580,quinella_place,ワイド,4,4-6,0.16463140906954943,87.5,1341,True,500,43750.0,43250.0,500,6705.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-01T07:43:40+09:00,daily morning snapshot
2026-08-01,佐世保,9,098520260801,1785561780,1785561480,quinella_place,ワイド,3,4-5,0.3084082980339266,15.2,369,True,200,3040.0,2840.0,200,738.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-01T07:43:40+09:00,daily morning snapshot
2026-08-01,小田原,7,073620260801,1785558780,1785558480,quinella,2車複,2,2-3,0.2104438082289502,191.4,3928,True,500,95700.0,95200.0,500,19640.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-01T07:43:40+09:00,daily morning snapshot
2026-08-01,小田原,7,073620260801,1785558780,1785558480,quinella_place,ワイド,2,2-3,0.5554657898355909,8.3,361,True,200,1660.0,1460.0,200,722.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-01T07:43:40+09:00,daily morning snapshot
2026-08-01,小田原,7,073620260801,1785558780,1785558480,trifecta,3連単,3,2-3-7,0.0892266791072493,180.0,1506,True,500,90000.0,89500.0,500,7530.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-01T07:43:40+09:00,daily morning snapshot
2026-08-01,岐阜,6,064320260801,1785557580,1785557280,quinella_place,ワイド,5,2-5,0.11594847917967563,38.5,346,True,200,7700.0,7500.0,200,692.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-01T07:43:40+09:00,daily morning snapshot
2026-08-01,弥彦,2,022120260801,1785569160,1785568860,trifecta,3連単,2,5-7-3,0.10834417575321148,89.6,871,True,300,26880.0,26580.0,300,2613.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-01T07:43:40+09:00,daily morning snapshot
2026-08-01,武雄,2,028420260801,1785586860,1785586560,exacta,2車単,3,1-4,0.10061827678136188,156.0,1470,True,500,78000.0,77500.0,500,7350.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-01T07:43:40+09:00,daily morning snapshot
2026-08-01,武雄,2,028420260801,1785586860,1785586560,exacta,2車単,2,2-1,0.12908511185565294,78.0,907,True,400,31200.0,30800.0,400,3628.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-01T07:43:40+09:00,daily morning snapshot
2026-08-01,防府,4,046320260801,1785544800,1785544500,quinella_place,ワイド,2,2-3,0.4747099285229029,11.2,432,True,200,2240.0,2040.0,200,864.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-01T07:43:40+09:00,daily morning snapshot
