strategy_version,bets_recorded,bets_total,bets_decided,bets_pending,bets_excluded_after_close,bets_excluded_unknown_time,hits,hit_rate,stake_yen,return_yen,profit_yen,return_rate,roi
morning_odds_legacy_v1,214,212,212,0,2,0,12,0.05660377358490566,78400,25910,-52490,0.33048469387755103,-0.669515306122449
near_close_v2_20260805,30,30,30,0,0,0,2,0.06666666666666667,3000,990,-2010,0.33,-0.67
