date,venue,race_no,race_id,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected,stake_yen,return_if_hit_yen,profit_if_hit_yen,loss_amount_yen,expected_profit_yen
2026-07-10,いわき平,3,031320260710,quinella_place,ワイド,4,3-4,0.25822478072445276,22.3,476,True,200,4460.0,4260.0,200,952.0
2026-07-10,いわき平,3,031320260710,trio,3連複,1,1-3-4,0.25045991974632,63.7,1495,True,500,31850.0,31350.0,500,7475.0
2026-07-10,いわき平,5,051320260710,trifecta,3連単,3,2-1-3,0.09382518659059343,121.6,1041,True,400,48640.0,48240.0,400,4164.0
2026-07-10,いわき平,8,081320260710,exacta,2車単,2,1-3,0.29594805157991166,35.1,939,True,400,14040.0,13640.0,400,3756.0
2026-07-10,いわき平,8,081320260710,quinella,2車複,2,1-3,0.3899225095620008,147.7,5659,True,500,73850.0,73350.0,500,28295.0
2026-07-10,いわき平,8,081320260710,quinella,2車複,3,1-5,0.0620215925629021,221.6,1274,True,500,110800.0,110300.0,500,6370.0
2026-07-10,前橋,3,032220260710,quinella_place,ワイド,2,1-2,0.23101209615136364,22.1,411,True,200,4420.0,4220.0,200,822.0
2026-07-10,前橋,4,042220260710,trifecta,3連単,2,1-3-5,0.09088931892545755,154.5,1304,True,500,77250.0,76750.0,500,6520.0
2026-07-10,前橋,4,042220260710,trifecta,3連単,1,1-5-3,0.14242940575164986,64.2,814,True,300,19260.0,18960.0,300,2442.0
2026-07-10,名古屋,6,064220260710,quinella_place,ワイド,6,2-5,0.2083038675313279,21.5,348,True,200,4300.0,4100.0,200,696.0
2026-07-10,名古屋,8,084220260710,exacta,2車単,3,2-3,0.06311504403567358,180.7,1040,True,400,72280.0,71880.0,400,4160.0
2026-07-10,名古屋,8,084220260710,quinella,2車複,1,2-3,0.10614125810805199,177.9,1788,True,500,88950.0,88450.0,500,8940.0
2026-07-10,名古屋,8,084220260710,quinella,2車複,2,1-3,0.09971842554422208,177.9,1674,True,500,88950.0,88450.0,500,8370.0
