date,venue,race_no,race_id,start_at,close_at,seconds_to_close_at_prediction,strategy_version,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected,stake_yen,return_if_hit_yen,profit_if_hit_yen,loss_amount_yen,expected_profit_yen,purchase_authorized,authorization_reason,model_sha256,prediction_created_at_jst,odds_snapshot
2026-08-08,宇都宮,3,032420260808,1786191600,1786191300,1496,near_close_v2_20260805,quinella_place,ワイド,2,2-5,0.4656716554901546,10.2,375,True,100,1020.0,920.0,100,375.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-08T20:50:03+09:00,5-40 minutes before close
2026-08-08,宇都宮,3,032420260808,1786191600,1786191300,1496,near_close_v2_20260805,trifecta,3連単,4,2-5-3,0.07096431443607519,155.4,1003,True,100,15540.0,15440.0,100,1003.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-08T20:50:03+09:00,5-40 minutes before close
2026-08-08,宇都宮,3,032420260808,1786191600,1786191300,1496,near_close_v2_20260805,trio,3連複,1,2-3-5,0.3731803110874646,36.5,1262,True,100,3650.0,3550.0,100,1262.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-08T20:50:03+09:00,5-40 minutes before close
