date,venue,race_no,race_id,start_at,close_at,source_url,schedule_fetched_at_jst
2026-08-19,豊橋,1,014520260819,1787095800,1787095500,https://www.winticket.jp/keirin/toyohashi/racecard/2026081845/2/1,2026-08-19T06:59:03+09:00
2026-08-19,豊橋,2,024520260819,1787097000,1787096700,https://www.winticket.jp/keirin/toyohashi/racecard/2026081845/2/2,2026-08-19T06:59:03+09:00
2026-08-19,豊橋,3,034520260819,1787098260,1787097960,https://www.winticket.jp/keirin/toyohashi/racecard/2026081845/2/3,2026-08-19T06:59:03+09:00
2026-08-19,豊橋,4,044520260819,1787099520,1787099220,https://www.winticket.jp/keirin/toyohashi/racecard/2026081845/2/4,2026-08-19T06:59:03+09:00
2026-08-19,豊橋,5,054520260819,1787100780,1787100480,https://www.winticket.jp/keirin/toyohashi/racecard/2026081845/2/5,2026-08-19T06:59:03+09:00
2026-08-19,豊橋,6,064520260819,1787102040,1787101740,https://www.winticket.jp/keirin/toyohashi/racecard/2026081845/2/6,2026-08-19T06:59:03+09:00
2026-08-19,豊橋,7,074520260819,1787103300,1787103000,https://www.winticket.jp/keirin/toyohashi/racecard/2026081845/2/7,2026-08-19T06:59:03+09:00
2026-08-19,高知,1,017420260819,1787103900,1787103600,https://www.winticket.jp/keirin/kochi/racecard/2026081874/2/1,2026-08-19T06:59:03+09:00
2026-08-19,大垣,1,014420260819,1787104380,1787104080,https://www.winticket.jp/keirin/ogaki/racecard/2026081744/3/1,2026-08-19T06:59:03+09:00
2026-08-19,立川,1,012820260819,1787104860,1787104560,https://www.winticket.jp/keirin/tachikawa/racecard/2026081728/3/1,2026-08-19T06:59:03+09:00
2026-08-19,高知,2,027420260819,1787105340,1787105040,https://www.winticket.jp/keirin/kochi/racecard/2026081874/2/2,2026-08-19T06:59:03+09:00
2026-08-19,大垣,2,024420260819,1787105820,1787105520,https://www.winticket.jp/keirin/ogaki/racecard/2026081744/3/2,2026-08-19T06:59:03+09:00
2026-08-19,立川,2,022820260819,1787106300,1787106000,https://www.winticket.jp/keirin/tachikawa/racecard/2026081728/3/2,2026-08-19T06:59:03+09:00
2026-08-19,高知,3,037420260819,1787106840,1787106540,https://www.winticket.jp/keirin/kochi/racecard/2026081874/2/3,2026-08-19T06:59:03+09:00
2026-08-19,大垣,3,034420260819,1787107380,1787107080,https://www.winticket.jp/keirin/ogaki/racecard/2026081744/3/3,2026-08-19T06:59:03+09:00
2026-08-19,立川,3,032820260819,1787107920,1787107620,https://www.winticket.jp/keirin/tachikawa/racecard/2026081728/3/3,2026-08-19T06:59:03+09:00
2026-08-19,高知,4,047420260819,1787108460,1787108160,https://www.winticket.jp/keirin/kochi/racecard/2026081874/2/4,2026-08-19T06:59:03+09:00
2026-08-19,大垣,4,044420260819,1787109000,1787108700,https://www.winticket.jp/keirin/ogaki/racecard/2026081744/3/4,2026-08-19T06:59:03+09:00
2026-08-19,立川,4,042820260819,1787109540,1787109240,https://www.winticket.jp/keirin/tachikawa/racecard/2026081728/3/4,2026-08-19T06:59:03+09:00
2026-08-19,高知,5,057420260819,1787110080,1787109780,https://www.winticket.jp/keirin/kochi/racecard/2026081874/2/5,2026-08-19T06:59:03+09:00
