date,train_rows,train_races,test_rows,test_races,top1_bets,top1_hits,top1_hit_rate,auc_binary,race_logloss
2026-06-09,657,93,75,11,11,2,0.18181818181818182,0.7315340909090908,1.721204754618372
2026-06-10,732,104,73,11,11,3,0.2727272727272727,0.8401759530791788,1.241302422047358
2026-06-11,805,115,87,12,12,5,0.4166666666666667,0.73,1.8895704906851405
2026-06-12,892,127,76,10,10,3,0.3,0.6515151515151515,2.365745891165456
2026-06-13,968,137,62,9,9,5,0.5555555555555556,0.7064989517819706,2.1078823067719323
2026-06-14,1030,146,73,10,10,5,0.5,0.8095238095238095,1.3287770228435838
2026-06-15,1103,156,76,11,11,1,0.09090909090909091,0.5244755244755245,3.3326516061601286
2026-06-16,1179,167,62,9,9,4,0.4444444444444444,0.7044025157232704,1.8265325326201183
2026-06-17,1241,176,77,11,11,3,0.2727272727272727,0.581267217630854,2.3820110864110693
2026-06-18,1318,187,65,9,9,2,0.2222222222222222,0.7321428571428571,1.7880208927506491
2026-06-19,1383,196,66,9,9,2,0.2222222222222222,0.580896686159844,2.4959837854654854
2026-06-20,1449,205,65,9,9,1,0.1111111111111111,0.6011904761904762,2.1879742087427054
2026-06-21,1514,214,58,8,8,1,0.125,0.455,3.1489972994415023
2026-06-22,1572,222,70,10,10,4,0.4,0.6699999999999999,1.974565888485531
2026-06-23,1642,232,81,12,12,1,0.08333333333333333,0.6739130434782609,1.932310379348575
2026-06-24,1723,244,56,8,8,3,0.375,0.7083333333333334,1.8172142288164372
2026-06-25,1779,252,76,11,11,4,0.36363636363636365,0.7048951048951049,1.7594173270782676
2026-06-26,1855,263,55,8,8,4,0.5,0.7579787234042553,1.5444026993148188
2026-06-27,1910,271,94,13,13,3,0.23076923076923078,0.667616334283001,2.027978067575798
2026-06-28,2004,284,50,7,7,2,0.2857142857142857,0.7973421926910299,1.5589096396747917
2026-06-29,2054,291,43,6,6,2,0.3333333333333333,0.7252252252252251,1.7063632218148481
2026-06-30,2097,297,18,2,2,0,0.0,0.625,1.9431640568903947
