date,venue,race_no,race_id,start_at,close_at,seconds_to_close_at_prediction,strategy_version,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected,stake_yen,return_if_hit_yen,profit_if_hit_yen,loss_amount_yen,expected_profit_yen,purchase_authorized,authorization_reason,model_sha256,prediction_created_at_jst,odds_snapshot
2026-08-15,奈良,5,055320260815,1786764240,1786763940,2239,near_close_v2_20260805,exacta,2車単,2,3-1,0.19078042935242065,75.6,1342,True,100,7560.0,7460.0,100,1342.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-15T11:41:41+09:00,5-40 minutes before close
2026-08-15,奈良,5,055320260815,1786764240,1786763940,2239,near_close_v2_20260805,quinella_place,ワイド,5,3-4,0.3439591899151375,13.8,375,True,100,1380.0,1280.0,100,375.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-15T11:41:41+09:00,5-40 minutes before close
