date,venue,race_no,race_id,candidate_rank,buy,trifecta_prob_approx,trifecta_odds,stake_yen,trifecta_return_yen,trifecta_profit_yen,loss_amount_yen,expected_profit_yen
2026-06-30,佐世保,1,018520260630,5,2-1-5,0.015543245531589176,114.3,100,11430,11330,100,78
2026-06-30,佐世保,1,018520260630,6,2-1-6,0.015543245531589176,42.0,100,4200,4100,100,-35
2026-06-30,佐世保,1,018520260630,7,1-2-4,0.015463536580145128,35.8,100,3580,3480,100,-45
2026-06-30,佐世保,1,018520260630,8,1-2-7,0.015463536580145128,131.1,100,13110,13010,100,103
2026-06-30,佐世保,2,028520260630,1,2-1-5,0.024929415915115848,18.7,100,1870,1770,100,-53
2026-06-30,佐世保,2,028520260630,2,2-5-1,0.024173831792468268,49.0,100,4900,4800,100,18
2026-06-30,佐世保,2,028520260630,3,1-2-5,0.023305562419955725,34.1,100,3410,3310,100,-21
2026-06-30,佐世保,2,028520260630,4,5-2-1,0.02213127036639167,127.5,100,12750,12650,100,182
2026-06-30,佐世保,2,028520260630,5,1-5-2,0.020669188945640158,54.6,100,5460,5360,100,13
2026-06-30,佐世保,2,028520260630,6,5-1-2,0.020241225283731075,173.9,100,17390,17290,100,252
2026-06-30,佐世保,2,028520260630,7,2-1-3,0.011565192950311474,14.0,100,1400,1300,100,-84
2026-06-30,佐世保,2,028520260630,8,2-1-7,0.011565192950311474,10.9,100,1090,990,100,-87
2026-06-30,佐世保,3,038520260630,1,3-5-1,0.02446491093219187,78.6,100,7860,7760,100,92
2026-06-30,佐世保,3,038520260630,2,3-5-2,0.02383437199064053,137.5,100,13750,13650,100,228
2026-06-30,佐世保,3,038520260630,3,3-5-4,0.02383437199064053,275.1,100,27510,27410,100,556
2026-06-30,佐世保,3,038520260630,4,3-5-6,0.02383437199064053,550.2,100,55020,54920,100,1211
2026-06-30,佐世保,3,038520260630,5,5-3-1,0.023727677394096456,206.3,100,20630,20530,100,390
2026-06-30,佐世保,3,038520260630,6,5-3-2,0.023116139316929026,275.1,100,27510,27410,100,536
