race_id,actual_trifecta,actual_trifecta_odds,race_status,decided_at,source_url,actual_trio,actual_exacta,actual_quinella,actual_bracket_exacta,actual_bracket_quinella,actual_quinella_place,payouts_trifecta_json,payouts_trio_json,payouts_exacta_json,payouts_quinella_json,payouts_quinella_place_json,payouts_bracket_exacta_json,payouts_bracket_quinella_json,start_at,close_at
045320260717,5-1-3,29.7,3,1784293185,https://www.winticket.jp/keirin/nara/racecard/2026071653/2/4,1-3-5,5-1,1-5,5-1,1-5,1-3|1-5|3-5,"{""5-1-3"": 2970}","{""1-3-5"": 540}","{""5-1"": 1880}","{""1-5"": 950}","{""1-3"": 170, ""1-5"": 360, ""3-5"": 440}",{},{},1784292600.0,1784292300.0
045320260718,,,1,0,https://www.winticket.jp/keirin/nara/racecard/2026071653/3/4,,,,,,,{},{},{},{},{},{},{},1784379000.0,1784378700.0
046220260715,7-6-2,47.5,3,1784119664,https://www.winticket.jp/keirin/hiroshima/racecard/2026071362/3/4,2-6-7,7-6,6-7,6-6,6-6,2-6|2-7|6-7,"{""7-6-2"": 4750}","{""2-6-7"": 350}","{""7-6"": 2020}","{""6-7"": 720}","{""2-6"": 200, ""2-7"": 330, ""6-7"": 230}",{},{},1784119200.0,1784118900.0
051320260711,2-3-4,11.4,3,1783776254,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071013/2/5,2-3-4,2-3,2-3,2-3,2-3,2-3|2-4|3-4,"{""2-3-4"": 1140}","{""2-3-4"": 250}","{""2-3"": 500}","{""2-3"": 210}","{""2-3"": 140, ""2-4"": 140, ""3-4"": 250}",{},{},1783775400.0,1783775100.0
051320260718,,,1,0,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071613/3/5,,,,,,,{},{},{},{},{},{},{},1784379600.0,1784379300.0
052720260713,1-6-5,32.3,3,1783948814,https://www.winticket.jp/keirin/keiokaku/racecard/2026071327/1/5,1-5-6,1-6,1-6,1-6,1-6,1-5|1-6|5-6,"{""1-6-5"": 3230}","{""1-5-6"": 480}","{""1-6"": 1430}","{""1-6"": 1220}","{""1-5"": 230, ""1-6"": 230, ""5-6"": 450}",{},{},1783948200.0,1783947900.0
054220260712,3-6-1,13.8,3,1783861848,https://www.winticket.jp/keirin/nagoya/racecard/2026071042/3/5,1-3-6,3-6,3-6,3-6,3-6,1-3|1-6|3-6,"{""3-6-1"": 1380}","{""1-3-6"": 190}","{""3-6"": 810}","{""3-6"": 590}","{""1-3"": 130, ""1-6"": 140, ""3-6"": 150}",{},{},1783861200.0,1783860900.0
061320260717,1-6-3,98.9,3,1784295079,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071613/2/6,1-3-6,1-6,1-6,1-6,1-6,1-3|1-6|3-6,"{""1-6-3"": 9890}","{""1-3-6"": 3770}","{""1-6"": 2890}","{""1-6"": 2360}","{""1-3"": 270, ""1-6"": 440, ""3-6"": 1410}",{},{},1784294400.0,1784294100.0
062620260718,,,1,0,https://www.winticket.jp/keirin/seibuen/racecard/2026071626/3/6,,,,,,,{},{},{},{},{},{},{},1784363940.0,1784363640.0
062720260713,1-6-3,22.2,3,1783950064,https://www.winticket.jp/keirin/keiokaku/racecard/2026071327/1/6,1-3-6,1-6,1-6,1-6,1-6,1-3|1-6|3-6,"{""1-6-3"": 2220}","{""1-3-6"": 300}","{""1-6"": 1160}","{""1-6"": 250}","{""1-3"": 240, ""1-6"": 160, ""3-6"": 170}",{},{},1783949400.0,1783949100.0
