date,venue,race_no,race_id,start_at,close_at,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected,stake_yen,return_if_hit_yen,profit_if_hit_yen,loss_amount_yen,expected_profit_yen,purchase_authorized,authorization_reason,model_sha256,prediction_created_at_jst,odds_snapshot
2026-08-04,名古屋,2,024220260804,1785827640,1785827340,trifecta,3連単,2,4-5-2,0.08335088111854018,109.1,809,True,300,32730.0,32430.0,300,2427.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-04T07:40:56+09:00,daily morning snapshot
2026-08-04,名古屋,3,034220260804,1785829080,1785828780,trifecta,3連単,3,2-1-5,0.07318421387197552,201.7,1376,True,500,100850.0,100350.0,500,6880.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-04T07:40:56+09:00,daily morning snapshot
2026-08-04,名古屋,12,124220260804,1785842220,1785841920,exacta,2車単,2,7-1,0.1580200156804418,67.5,967,True,400,27000.0,26600.0,400,3868.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-04T07:40:56+09:00,daily morning snapshot
2026-08-04,名古屋,12,124220260804,1785842220,1785841920,trifecta,3連単,2,7-1-3,0.09716043432072223,120.0,1066,True,400,48000.0,47600.0,400,4264.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-04T07:40:56+09:00,daily morning snapshot
2026-08-04,小松島,5,057320260804,1785814440,1785814140,exacta,2車単,4,4-7,0.12011502760437429,94.5,1035,True,400,37800.0,37400.0,400,4140.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-04T07:40:56+09:00,daily morning snapshot
2026-08-04,小松島,11,117320260804,1785824880,1785824580,exacta,2車単,3,1-5,0.09772608300179945,147.0,1337,True,500,73500.0,73000.0,500,6685.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-04T07:40:56+09:00,daily morning snapshot
2026-08-04,小松島,11,117320260804,1785824880,1785824580,exacta,2車単,4,1-7,0.06860494265670666,147.0,908,True,400,58800.0,58400.0,400,3632.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-04T07:40:56+09:00,daily morning snapshot
2026-08-04,広島,4,046220260804,1785804000,1785803700,exacta,2車単,6,7-1,0.08519072473553052,170.2,1350,True,500,85100.0,84600.0,500,6750.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-04T07:40:56+09:00,daily morning snapshot
2026-08-04,広島,7,076220260804,1785807600,1785807300,exacta,2車単,3,5-6,0.11057681534382864,132.7,1367,True,500,66350.0,65850.0,500,6835.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-04T07:40:56+09:00,daily morning snapshot
2026-08-04,広島,7,076220260804,1785807600,1785807300,exacta,2車単,4,5-3,0.08468469573828936,132.7,1024,True,400,53080.0,52680.0,400,4096.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-08-04T07:40:56+09:00,daily morning snapshot
