date,venue,race_no,race_id,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected,stake_yen,return_if_hit_yen,profit_if_hit_yen,loss_amount_yen,expected_profit_yen
2026-07-09,久留米,3,038320260709,exacta,2車単,3,3-2,0.06498543496253265,191.8,1146,True,400,76720.0,76320.0,400,4584.0
2026-07-09,久留米,5,058320260709,quinella_place,ワイド,1,2-3,0.3263977466790998,14.8,383,True,200,2960.0,2760.0,200,766.0
2026-07-09,久留米,11,118320260709,quinella_place,ワイド,1,2-4,0.21867355079763323,19.0,315,True,200,3800.0,3600.0,200,630.0
2026-07-09,弥彦,2,022120260709,quinella_place,ワイド,1,2-3,0.5861379489592056,9.1,433,True,200,1820.0,1620.0,200,866.0
2026-07-09,弥彦,4,042120260709,trifecta,3連単,1,1-2-4,0.10598829650576892,110.2,1068,True,400,44080.0,43680.0,400,4272.0
2026-07-09,弥彦,4,042120260709,trio,3連複,1,1-2-4,0.3248546223671996,41.5,1248,True,500,20750.0,20250.0,500,6240.0
2026-07-09,弥彦,7,072120260709,trio,3連複,1,1-2-3,0.6224517153893755,15.1,840,True,300,4530.0,4230.0,300,2520.0
2026-07-09,玉野,2,026120260709,quinella_place,ワイド,1,1-2,0.5314554584589192,7.7,309,True,200,1540.0,1340.0,200,618.0
2026-07-09,玉野,4,046120260709,exacta,2車単,3,1-3,0.13791871136593392,96.7,1234,True,500,48350.0,47850.0,500,6170.0
2026-07-09,玉野,6,066120260709,exacta,2車単,2,1-7,0.1295385700514331,100.5,1202,True,500,50250.0,49750.0,500,6010.0
