date,venue,race_no,race_id,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected,stake_yen,return_if_hit_yen,profit_if_hit_yen,loss_amount_yen,expected_profit_yen
2026-07-04,京王閣,7,072720260704,quinella,2車複,1,1-6,0.37455586791289225,47.5,1679,True,500,23750.0,23250.0,500,8395.0
2026-07-04,伊東,5,053720260704,trifecta,3連単,1,6-1-5,0.12448212935704,80.2,898,True,300,24060.0,23760.0,300,2694.0
2026-07-04,伊東,5,053720260704,trifecta,3連単,2,6-5-1,0.12092758851424608,79.2,858,True,300,23760.0,23460.0,300,2574.0
2026-07-04,別府,1,018620260704,exacta,2車単,1,3-1,0.36805965897522447,47.3,1641,True,500,23650.0,23150.0,500,8205.0
2026-07-04,別府,2,028620260704,exacta,2車単,1,1-3,0.2846599640228487,51.0,1352,True,500,25500.0,25000.0,500,6760.0
2026-07-04,別府,3,038620260704,exacta,2車単,2,3-2,0.24760827899039872,157.8,3807,True,500,78900.0,78400.0,500,19035.0
2026-07-04,別府,3,038620260704,trio,3連複,1,2-3-4,0.30707611355607295,38.5,1082,True,400,15400.0,15000.0,400,4328.0
2026-07-04,別府,6,068620260704,exacta,2車単,2,4-3,0.20340080520791373,45.7,830,True,300,13710.0,13410.0,300,2490.0
2026-07-04,別府,7,078620260704,quinella_place,ワイド,5,3-5,0.2550670543460491,32.2,721,True,300,9660.0,9360.0,300,2163.0
2026-07-04,別府,7,078620260704,quinella_place,ワイド,4,3-4,0.2550670543460491,32.0,716,True,300,9600.0,9300.0,300,2148.0
2026-07-04,別府,7,078620260704,trio,3連複,3,2-4-5,0.14219631968461488,88.8,1163,True,400,35520.0,35120.0,400,4652.0
2026-07-04,小松島,3,037320260704,quinella_place,ワイド,3,2-6,0.19806420265597446,24.3,381,True,200,4860.0,4660.0,200,762.0
2026-07-04,岸和田,2,025620260704,exacta,2車単,1,2-1,0.15518235138622122,94.5,1366,True,500,47250.0,46750.0,500,6830.0
2026-07-04,岸和田,3,035620260704,exacta,2車単,2,1-4,0.2527734421556932,63.7,1510,True,500,31850.0,31350.0,500,7550.0
2026-07-04,岸和田,5,055620260704,trifecta,3連単,1,2-3-6,0.09918898900363332,93.9,831,True,300,28170.0,27870.0,300,2493.0
2026-07-04,岸和田,6,065620260704,quinella_place,ワイド,1,4-5,0.5380944066802157,7.5,304,True,200,1500.0,1300.0,200,608.0
2026-07-04,弥彦,5,052120260704,quinella_place,ワイド,6,6-7,0.12490473009203457,44.7,458,True,200,8940.0,8740.0,200,916.0
2026-07-04,青森,5,051220260704,quinella_place,ワイド,7,5-7,0.1496796408862359,99.4,1388,True,500,49700.0,49200.0,500,6940.0
2026-07-04,青森,6,061220260704,exacta,2車単,6,1-5,0.06777367070089152,169.7,1050,True,400,67880.0,67480.0,400,4200.0
2026-07-04,青森,6,061220260704,trifecta,3連単,5,5-1-4,0.071924057773396,147.5,961,True,400,59000.0,58600.0,400,3844.0
